tid,age_group,competition_level,n_games_scored,last_game_scored_ts
3ba13d8d6974f9bb1cc53724c0c9d137,Between 13 - 18,school,9,2019-09-22 13:23:47
cc9eaf2f09b35fbe77cdcae661e19f89,Between 13 - 18,school,33,2019-09-28 02:26:35
0622c42cd838b1ef73d0324a9de46749,Between 13 - 18,school,19,2019-09-29 00:18:57
e82698b6096251561e292b060ffa40bd,Under 13,club_travel,7,2019-09-29 23:47:17.119377
05b945de0a72bb946cb6618202bef3ab,Between 13 - 18,club_travel,18,2019-09-30 12:19:42
1f186c4b0c8222f1feea1a88704ea041,Under 13,club_travel,2,2019-10-05 20:20:21
decc5cf192dacca3fb1b6a1316cfdb72,Under 13,club_travel,24,2019-10-06 18:04:30.598079
528347c33c87d9ef794dd523edf25c0f,Under 13,club_travel,9,2019-10-13 16:58:40
ba7fcd067825c14e9b372d1fe4207b50,Between 13 - 18,club_travel,14,2019-10-13 18:03:38
a5139b1fa34f99ef52ccc838ecec5038,Between 13 - 18,club_travel,3,2019-10-13 18:31:44
e444f559ba114865a75eaaf43343629f,Under 13,club_travel,10,2019-10-13 19:31:51
37ccdc8463067621aeaa7e5e08852435,Under 13,recreational,10,2019-10-13 19:32:51.514449
1eeb66c4412427efafc1d2890883f9ef,Between 13 - 18,school,32,2019-10-17 20:20:08
79567bda4bcfce1323ac38237268e9a7,Under 13,club_travel,16,2019-10-19 13:29:41
4c80df700001b66ee49fb5634620da54,Under 13,recreational,13,2019-10-20 14:41:33
33d29d0b5145eab949790fe1b56a68c0,Between 13 - 18,club_travel,20,2019-10-20 19:41:07
995c5d1569b35602f1cee235bbc4bf21,Under 13,club_travel,38,2019-10-20 19:49:00
796dc192e01cc839a57421e9cc1b2c16,Between 13 - 18,club_travel,13,2019-10-25 21:53:22
e7653d50022aae63636369f1f1d3fc27,Between 13 - 18,club_travel,24,2019-10-26 16:59:09
0023e521e1e8a6e482df9990718edfe5,Under 13,club_travel,2,2019-10-26 18:06:17.241122
ebef6b21761dcc62c1fb794e77490a89,Under 13,club_travel,11,2019-10-26 18:30:46
3fd8011bbaf8d12776ce05b865e233b4,Between 13 - 18,club_travel,57,2019-10-27 11:57:33
43b0bd6f1ed29c1623f5e5195d927614,Between 13 - 18,club_travel,20,2019-11-03 12:43:20
ff9de90511bf23ad5331bce2f2daa7e7,Under 13,club_travel,20,2019-11-03 19:34:52
2e8807c6fe999b4224f32af2d88a147f,Under 13,club_travel,8,2019-11-03 19:37:21
5cd04d8499c88a16334c76c9be65723a,Under 13,club_travel,26,2019-11-03 19:54:42
8a33ec7bd1ebbd528de38894cfd84d7f,Under 13,club_travel,22,2019-11-03 22:47:28.777872
44aed426075aa99626587cdc9740f850,Under 13,club_travel,14,2019-11-06 23:46:39
4ab69e380ef08fc9c439303ce9480fa0,Under 13,club_travel,21,2019-11-09 21:36:20.419517
46a71986c2d7550ee1130dad92f8c32f,Under 13,club_travel,14,2019-11-10 14:57:23
22ecbc29a2ede33e16e2e9d214500a28,Under 13,club_travel,11,2019-11-10 23:29:21
420aeb996d25c5fd3b078b767f3ba3b9,Between 13 - 18,club_travel,42,2019-11-17 01:20:25
39f7354910e8efe39b121950a33db3ca,Under 13,club_travel,14,2019-11-17 16:02:58
e152875a6cc3da2fc46a23e051880566,Under 13,club_travel,5,2019-11-17 20:38:03
abc8c82ce17c0b9a6c05c7b589f852d1,Between 13 - 18,club_travel,39,2019-11-17 23:44:55.629403
68055ae4ffd0906179d87b8380019167,Between 13 - 18,club_travel,35,2019-11-24 17:20:34
7edc39c1fd7a4a2093548f5c5ffd6609,Under 13,club_travel,33,2019-12-08 19:53:19
87e6e8a8a5f712c974b9f2a7b27e9131,Between 13 - 18,club_travel,52,2019-12-29 19:54:30
f89f7dd1b824cb5798a38a1d22fd3096,Between 13 - 18,school,5,2020-02-08 18:01:12
916b59ee45b2d41f68f658fa58563b8a,Between 13 - 18,club_travel,18,2020-02-09 16:28:46
674d7aeb5de732a8765b52ea050c09ad,Under 13,club_travel,6,2020-02-09 19:14:34.39917
b6ba681daed2eb549d7cb0a475a63a44,Between 13 - 18,club_travel,22,2020-02-09 22:14:49
a977621cbadf451c41dc38c457e57eff,Under 13,club_travel,11,2020-03-01 20:24:37.150593
569c2adbae4efdf8dfce7c531b6efcd2,Under 13,club_travel,5,2020-03-05 03:26:11
feef472af00da5de7b8b49af707950d8,Between 13 - 18,club_travel,8,2020-03-08 19:52:29
6de8117445d3c16d999ba6021b25cb2a,Under 13,club_travel,41,2020-03-09 03:19:35
37dece1aa3a6a83279064d41d4a47589,Under 13,club_travel,18,2020-03-09 16:17:58
8e6a29078f6756d0c11e8c85b216188a,Between 13 - 18,school,9,2020-03-09 19:32:18
da3df1870fbb0c566a57ecdeb03b9d29,Under 13,recreational,2,2020-03-10 00:01:59
c019f825abdeec4d550584cc5df75cee,Between 13 - 18,school,3,2020-03-11 22:04:47
fd1411ce332f30274cd3e483d6050443,Between 13 - 18,school,6,2020-03-13 19:14:19
297ea11f008a39c0193718145d2a301f,Between 13 - 18,school,14,2020-03-14 00:08:42
256435f151aaf71505fa7edc1631befc,Under 13,recreational,8,2020-03-14 13:40:59
c67f6d7a83203c4bbe5601beb7d2449a,Under 13,club_travel,17,2020-05-31 12:50:21
7d87dbac8f1fca0a68aff9a5bd841f5c,Between 13 - 18,club_travel,11,2020-06-21 01:06:13
fb31d5a95b9bca436e2af693510967fc,Under 13,club_travel,22,2020-06-21 16:11:54
d20a3a97428382b855e7d8ada6cfcb7a,Under 13,club_travel,50,2020-06-21 19:49:48
1e852c4d213a053c2d8d3582a7259ed9,Under 13,club_travel,20,2020-06-28 21:41:04
6f219a064c7a92061a3265a896648a00,Under 13,club_travel,20,2020-07-05 11:44:06
616a1d099c40c7216586c83164f0847b,Under 13,recreational,7,2020-07-09 21:40:29
05b7812a6e2e3529cee9ebc3c4c33223,Under 13,club_travel,29,2020-07-12 20:26:51
e2b544a240c3a7a58e1ce1335625bc2c,Between 13 - 18,recreational,27,2020-07-18 19:25:29
6522ff0567085b6f35d31b23007defb1,Under 13,club_travel,23,2020-07-19 20:10:20
a03d48193d2fc7189007ec5dbdeab668,Between 13 - 18,club_travel,23,2020-07-20 22:30:43.416747
114a194fdad81e03a3fc70747f1a4c04,Between 13 - 18,recreational,16,2020-07-22 21:29:17.69074
4ccb995f27177915f8adc8ea7bf1e81a,Under 13,club_travel,20,2020-07-23 15:12:19
a612c3d65cd2b704cdac5eaa6da30816,Between 13 - 18,club_travel,14,2020-07-26 11:56:36
5b0474687771501de3cfcce2d1e5bbc3,Between 13 - 18,club_travel,32,2020-07-26 11:57:49.688939
dee699346c5fea93ee346d9b8c432454,Between 13 - 18,club_travel,20,2020-07-26 16:20:01
e3ae49103a6343b654d5513dc9e00f69,Under 13,club_travel,62,2020-07-26 16:21:48
7e5d946dcc7d550b583c7fa1857a5f65,Under 13,club_travel,30,2020-07-26 18:20:05
ea6e44c00a7118114028200b72e54121,Under 13,club_travel,13,2020-08-01 21:02:55
c5eedb6b24ebd358765e1fd8396f26ef,Between 13 - 18,club_travel,20,2020-08-02 16:35:59
cf8b11a01bcd0a9e358fd732b0d2ea4a,Between 13 - 18,club_travel,27,2020-08-02 18:55:51
f5d5083a0b55b654ebf2c5a3b6c1a30c,Under 13,club_travel,19,2020-08-02 20:35:38
d15548cda21185a9f73a3ec4bbe3ecb4,Under 13,recreational,12,2020-08-06 22:46:46
c638af8bd58f79c9f59cd8a09d220e52,Under 13,club_travel,20,2020-08-08 15:59:50.760306
5562bad44873972e681ef66fb8e6757b,Between 13 - 18,club_travel,28,2020-08-08 18:38:34
9854950c161ec81dddb6ee3ee940079b,Over 18,club_travel,58,2020-08-08 21:25:44
9342cf9c4d1c5fd620a5ec74a8b1aa49,Under 13,club_travel,46,2020-08-08 23:26:30
bc9d7a98ad494d42018194b59210998c,Under 13,club_travel,73,2020-08-09 13:24:55.892679
4452ce6be829d1d23996c33c37647360,Between 13 - 18,club_travel,20,2020-08-15 13:58:47
90daadede37fc5deeeee3983d291c0e6,Under 13,club_travel,42,2020-08-15 20:38:35
7eaf78ba0903e8e63ba405d508558044,Under 13,club_travel,40,2020-08-16 12:52:30
56fe57805426b92dda75b9368819f729,Under 13,recreational,12,2020-08-16 13:48:51
bde3658181452ed26c1e9354699357c1,Between 13 - 18,club_travel,29,2020-08-16 18:12:30
527ce478a78552f142a92f086c289d5e,Under 13,recreational,15,2020-08-19 21:44:26
270f72fa647d811af2a0f4160aae3b14,Under 13,club_travel,41,2020-08-30 17:24:32
d4bfe7ce565b46daf6175f645e28c666,Between 13 - 18,club_travel,14,2020-08-30 20:36:25.355126
8c8e1d86bc3f11a9c9ae9df4fde9b8a6,Under 13,recreational,12,2020-09-19 19:48:54
4c3778ea6046544e41fdf2625161136a,Over 18,school,4,2020-09-19 20:14:34
53f12aa372ab01450082b30c1ad6efb5,Between 13 - 18,club_travel,3,2020-09-20 16:50:23
62930cef1f339f8499db21c3c8cc8852,Between 13 - 18,club_travel,10,2020-09-20 19:53:24
b29295a9948c6262148b0c3d6570cc3d,Over 18,school,5,2020-09-24 23:25:46
7bbac6b5958d34a8446f2035f953c9fe,Under 13,club_travel,17,2020-09-26 15:32:44
55964174eab84c7f046f7f0454cbaf57,Under 13,club_travel,5,2020-09-27 14:22:35
6a0209a3451ae117e10b59467fc7af56,Under 13,club_travel,19,2020-09-27 14:47:00
a98764f9e9a4ea00d63de2506de39d66,Between 13 - 18,club_travel,10,2020-09-27 18:18:01.611648
c5b34a3d2f54efff97f2147758f3a68d,Under 13,club_travel,6,2020-09-27 18:35:29
29a80fe12cab9bddd426c4a40e57f02a,Under 13,club_travel,8,2020-09-27 18:47:37
d327053e15e486e083bce77c3960de52,Between 13 - 18,club_travel,19,2020-09-27 19:03:01
8b42682dde9dcd3d19f86312a68aa960,Between 13 - 18,club_travel,10,2020-09-27 22:33:12
1b8382e4525206d313213d1c334b7412,Between 13 - 18,club_travel,21,2020-09-28 01:49:03
22dd9d3ef5c9a7207cea310795617086,Under 13,club_travel,20,2020-09-28 22:13:50.744878
42fb715be3468549bf8babd061140d42,Under 13,club_travel,10,2020-09-29 22:33:24.82787
91a2ff96fd0f7e2436ab6e4e54f57afc,Between 13 - 18,school,19,2020-10-01 21:24:03
b8e25c7b049df649f0e37359f043d830,Under 13,club_travel,62,2020-10-03 00:30:12
ea5800f214f765fc7c672e280c35b176,Between 13 - 18,club_travel,8,2020-10-03 15:18:23.309494
28aef035e75af295d5bf1779eb2e4dde,Under 13,club_travel,6,2020-10-03 16:03:52
194f615ca2c01c2afec0a04e3d073024,Between 13 - 18,club_travel,4,2020-10-03 20:50:55
98832938666dc98199a6fc774d22b3fe,Under 13,club_travel,15,2020-10-03 21:17:06
b4860aaba872acabfb4c87e97af5d72f,Under 13,club_travel,23,2020-10-03 21:35:39.984361
cdaa5b7f65ed88d22536fcddbde2ceea,Between 13 - 18,club_travel,17,2020-10-04 01:43:43.027377
217b624d3e16dd5890db8653c6d57f2f,Between 13 - 18,club_travel,8,2020-10-04 13:44:25
c368fbaa2c82f60c6b33962130be5c6d,Under 13,club_travel,6,2020-10-04 16:00:30
d90c0d0c5a3957726d45368bb8d87c32,Between 13 - 18,club_travel,11,2020-10-04 18:00:16
d8413ca336b4f10958aa7032b18061ac,Under 13,club_travel,10,2020-10-04 19:03:57
f46bed74a95c51c9d717a6cb3c17e51e,Under 13,club_travel,34,2020-10-04 20:27:43
ed83d27517e077f423e240f39c79422c,Under 13,club_travel,8,2020-10-04 20:36:21
fc4453259861d21876a76ff1c5be52f3,Under 13,recreational,4,2020-10-04 21:37:58.777188
058a8ddb554cc7f0551cd1c54a1751c6,Between 13 - 18,recreational,2,2020-10-04 22:50:36
902c8d6cfe65eaf196c4d34497a22b53,Between 13 - 18,club_travel,10,2020-10-05 00:25:28
07a1b48fcc1ed8b49ae4b99821823008,Between 13 - 18,club_travel,59,2020-10-05 03:04:04
0b0711221c12621269de11740c383d64,Under 13,club_travel,29,2020-10-05 22:24:15.279271
40b7b9b8f836100d6de53ffb78aac5e6,Between 13 - 18,recreational,4,2020-10-05 22:26:49
773a2dee8d46b2c612030998437d7004,Between 13 - 18,school,16,2020-10-05 23:06:45
f2d080e32ab55c182e830dceeede5b3d,Under 13,club_travel,9,2020-10-06 00:54:20
4f0294295bbd9be609ac62ce1ecff6b6,Between 13 - 18,school,8,2012-08-04 16:03:53
a36b9e569c2bd60968169876612595ea,Between 13 - 18,school,14,2017-03-29 19:34:46
1e06c2561c29bc62eeff56498a591a2d,Under 13,club_travel,24,2017-04-15 22:44:38
